"","bin","wtAvgRestPct","wtSdRestPct","wtAvgMovingPct","wtSdMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtAvgNumNN","wtSdNumNN","wtAvgDistNN","wtSdDistNN","wtAvgAnthDist","wtSdAnthDist"
"2",1,54.5368478748318,35.7787450425618,11.769395585231,13.0927693048866,18.8150879465843,23.8294037258578,14.8786685933529,21.8571995351207,1.40895234815689,1.30619763363578,4.26567822724539,3.30571095752587,6.37496487119438,4.36739134503258
"3",2,67.48374970632,33.7682152623405,8.85738898895763,10.6501868848433,14.6605059127575,23.1886963869519,8.99835539196492,19.4820320901779,1.90474950396825,1.32900856945431,3.25839975996226,3.5695010058932,22.0536948860522,4.58387540148856
"4",3,69.7695612550449,27.8343892018655,11.1574013800286,13.78176129654,8.57961202968363,14.2727418659791,10.4934253352428,17.6373862331069,1.39204822829292,1.36768328067594,3.42618256351748,3.18538555561282,37.4185138653821,4.26456757371922
"5",4,67.5268017180155,31.655504880398,9.49305015387737,13.3571142368967,13.605465183131,21.2219076444639,9.37468294497616,16.7758913089299,1.31613912840993,1.19923660393041,4.49914784650304,3.50221943453475,53.4584372146505,4.11429566073527
"6",5,68.5947150229843,31.0826486416283,9.2698609661863,12.1018538969254,10.9788770128881,18.2547845470906,11.1565469979413,20.2545076192779,1.45109070660572,1.24637716339902,4.26518302380227,3.89318975507359,67.1858659296653,4.43840613742614
"7",6,62.1988894497728,33.7504815255863,13.449772841999,16.0207859527776,11.8081776880363,19.402979191013,12.5431600201918,20.6744514198644,1.72589721189119,1.38035343034746,3.19832948784689,3.03561219012455,82.3831674911661,4.3292824588873
"8",7,63.1262987762641,30.6556438980044,12.3960978988686,14.0771636138987,13.5534518586931,18.238674918124,10.9241514661741,16.4672241510227,1.74463005119869,1.68480259642423,4.01274803073191,3.50264293402339,96.2636224313092,4.39812619352393
"9",8,62.5935316306969,30.419012202164,12.2719683383835,14.4032484406849,15.5741759940634,21.5758445887814,9.5603240368561,15.6923317309921,1.33866713787574,1.37525970497054,4.7379332842185,4.03729770787629,112.641258116381,4.31532854948552
"10",9,70.6271344303012,31.0937425037798,12.0055883266066,16.2425946787915,9.60881713753493,16.2699363595882,7.75846010555728,14.7749117321102,1.30262302488475,1.17391759411299,4.47319374924032,4.19054626830592,128.784184104315,4.15766597929216
"11",10,69.0385677616402,31.5615037090848,8.88325697761315,12.0803855181976,12.034961172304,17.9011909611479,10.0432140884427,17.5653210377816,1.42652225428341,1.28663300073724,3.80946659617198,3.67159855753324,142.98887968288,4.35787015679287
"12",11,66.2035225048924,30.0538622266771,11.4598825831703,13.6846417106973,11.0919765166341,18.407086906327,11.2446183953033,14.8437939264535,1.56786694348861,1.24472906464536,3.81644861062503,3.4388328940251,156.875650880626,4.57565173018593
