"","ID","RestPct","MovingPct","FeedingPct","AvgNumNN","AvgDistNN","RivDist","AnthDist","nObs"
"1660","HB9014",87.5,6.25,0,3.86666666666667,2.33333333333333,9.26,93.16,16
"1661","HB9015",56.25,31.25,0,4,1.0625,11.4,88.47,16
"1662","HB9016",56.25,31.25,0,1.4,2.26666666666667,10.06,95.56,16
"1663","HB9017",100,0,0,0.733333333333333,3.63333333333333,7.05,94.98,16
"1664","HB9018",100,0,0,1.8125,1.1875,39.53,62.38,16
"1665","HB9019",25,12.5,56.25,1.86666666666667,0.633333333333333,89.67,220.26,16
"1666","HB9020",75,6.25,18.75,1.1875,2.03125,87,230.97,16
"1667","HB9021",56.25,6.25,18.75,2.4375,0.6875,76.89,224.05,16
"1668","HB9022",100,0,0,4.875,2,74.35,221.08,16
"1669","HB9023",37.5,43.75,0,0.461538461538462,7.80769230769231,120.84,156.79,16
"1670","HB9024",100,0,0,0,12.375,120.99,157.38,16
"1671","HB9025",56.25,12.5,0,2.16666666666667,1.04166666666667,123.91,152.61,16
"1672","HB9026",93.75,6.25,0,2.875,2.375,37.52,166.9,16
"1673","HB9027",25,31.25,25,2.30769230769231,0.884615384615385,29.74,161.32,16
"1674","HB9028",62.5,25,6.25,1.53333333333333,2.46666666666667,35.59,161.37,16
"1675","HB9029",93.75,6.25,0,1.4375,3.125,34.03,148.07,16
"1676","HB9030",50,18.75,6.25,2.16666666666667,0.541666666666667,54.28,217.05,16
"1677","HB9031",31.25,6.25,37.5,1.83333333333333,1.83333333333333,52.64,219.09,16
"1678","HB9032",100,0,0,3.75,3.3125,50.74,225.92,16
"1679","HB9033",100,0,0,4.6875,2.3125,57.32,220.31,16
"1680","HB9034",62.5,6.25,31.25,1.92857142857143,2.85714285714286,129.36,9.34,16
"1681","HB9035",25,31.25,12.5,1.75,3.5,127.6,6.69,16
"1682","HB9036",100,0,0,3,1.09375,74.43,207.6,16
"1683","HB9037",75,25,0,1.625,1.3125,82.78,197.98,16
"1684","HB9038",37.5,37.5,6.25,1.58333333333333,5.54166666666667,133.24,158.32,16
"1685","HB9039",62.5,12.5,12.5,3.5,0.857142857142857,118.51,175.64,16
"1686","HB9201",12.5,18.75,43.75,0.75,2.5,76.97,136.7,16
"1687","HB9202",87.5,6.25,0,2.6875,1.40625,113.29,87.83,16
"1688","HB9203",12.5,56.25,12.5,3.07142857142857,1.03571428571429,110.59,83.5,16
"1689","HB9204",43.75,0,0,3.25,1.5,113.11,86.41,16
"1690","HB9205",56.25,37.5,0,1.06666666666667,5.33333333333333,87.19,124.95,16
"1691","HB9206",43.75,25,0,2.18181818181818,1.77272727272727,84.51,126.25,16
"1692","HB9207",18.75,12.5,0,5.28571428571429,0.5,96.01,113.3,16
"1693","HB9208",6.25,31.25,62.5,0.9375,4.5,85.73,222.62,16
"1694","HB9209",18.75,18.75,56.25,1.93333333333333,2.8,68.61,221.54,16
"1695","HB9210",50,25,12.5,2.07142857142857,3.60714285714286,109.64,82.98,16
"1696","HB9211",56.25,18.75,25,0.5625,5.9375,111.68,73.35,16
"1697","HB9212",31.25,31.25,0,4.35714285714286,0.7,82.72,70.75,16
"1698","HB9213",56.25,37.5,0,2.85714285714286,1.35714285714286,73.63,62.16,16
"1699","HB9214",50,6.25,0,2.75,3,58.76,285.72,16
"1700","HB9215",43.75,43.75,0,3.57142857142857,1.21428571428571,122.36,168.49,16
"1701","HB9216",6.25,6.25,25,3.25,0.875,75.77,161.9,16
"1702","HB9217",100,0,0,0.9375,5.1875,61.32,149.26,16
"1703","HB9218",100,0,0,2,4,61.99,150.06,16
"1704","HB9219",87.5,0,0,4,0.21875,58.9,147.08,16
"1705","HB9220",100,0,0,3.9375,0.53125,58.92,146.81,16
"1706","HB9221",56.25,25,12.5,1.33333333333333,0.8,120.93,155.33,16
"1707","HB9222",43.75,25,0,0.727272727272727,6.27777777777778,123.06,153.73,16
"1708","HB9223",43.75,25,18.75,0.4,6.86666666666667,135.65,16.58,16
"1709","HB9224",31.25,37.5,18.75,2.46153846153846,1.65384615384615,19.39,142.58,16
"1710","HB9225",37.5,18.75,25,1.46153846153846,4.46153846153846,21.27,126.15,16
"1711","HB9226",100,0,0,1.75,4.375,47.05,98.45,16
"1712","HB9227",87.5,12.5,0,2.53846153846154,1.07692307692308,50.48,89.7,16
"1713","HB9228",100,0,0,3.1875,0.5,45.15,103.83,16
"1714","HB9229",43.75,0,56.25,1.8125,3,110.23,75.63,16
"1715","HB9230",43.75,31.25,18.75,1.57142857142857,1.42857142857143,107.77,73.71,16
"1716","HB9231",43.75,25,18.75,2.46666666666667,1.93333333333333,88.56,81.56,16
"1717","HB9232",12.5,43.75,6.25,1.8,2.3,34.06,173.2,16
"1718","HB9233",31.25,50,0,1.76923076923077,3.15384615384615,28.65,100.66,16
"1719","HB9234",37.5,12.5,50,3,2.03125,27.15,96.98,16
"1720","HB9235",50,12.5,25,4.78571428571429,0.928571428571429,29.07,92.5,16
"1721","HB9236",25,25,0,2.5,4.1875,15.62,111.72,16
"1722","HB9237",100,0,0,4.375,0.6875,112.57,153.96,16
"1723","HB9238",100,0,0,3,1,129,138.16,16
"1724","HB9239",100,0,0,5,0.46875,127.73,139.2,16
"1725","HB9240",0,25,75,4.0625,2.09375,124.68,142.26,16
"1726","HB9241",81.25,6.25,6.25,2.53333333333333,1.46666666666667,22.79,101.91,16
"1727","HB9242",12.5,18.75,68.75,2.9375,1,27.55,141.25,16
"1728","HB9243",100,0,0,1.8125,1.1875,34.96,139.87,16
"1729","HB9244",100,0,0,2,1.4375,32.53,140.5,16
"1730","HB9245",100,0,0,2.0625,3.625,18,123.16,16
"1731","HB9246",31.25,37.5,12.5,2.38461538461538,1.34615384615385,26.37,96.08,16
"1732","HB9247",18.75,12.5,37.5,0.363636363636364,9.18181818181818,109.47,79.16,16
"1733","HB9248",62.5,31.25,6.25,1.1875,4.8,100.09,341.28,16
"1734","HB9249",25,37.5,25,1.38461538461538,4.34615384615385,108.97,365.41,16
"1735","HB9250",93.75,0,0,0.733333333333333,1.64285714285714,123.64,68.98,16
"1736","HB9251",18.75,6.25,68.75,1.23076923076923,2.42307692307692,176.72,16.4,16
"1737","HB9252",43.75,18.75,31.25,2.06666666666667,2.3,170.48,63.7,16
"1738","HB9253",25,31.25,12.5,1,5.81818181818182,148.71,101.76,16
"1739","HB9254",12.5,12.5,62.5,2.07692307692308,3.38461538461538,58.6,171.41,16
"1740","HB9255",25,37.5,37.5,0,13,171.18,240.52,16
"1741","HB9256",56.25,18.75,12.5,2.21428571428571,1.85714285714286,90.82,46.55,16
"1742","HB9257",100,0,0,2.4375,0.5,106.53,60.62,16
"1743","HB9258",100,0,0,2,0.5,106.12,59.29,16
"1744","HB9259",100,0,0,1.6875,2.0625,206.09,276.32,16
"1745","HB9260",100,0,0,0.8125,2.8125,196.11,282.11,16
"1746","HB9261",25,25,25,0.666666666666667,7.04545454545455,217.86,265.58,16
"1747","HB9262",75,6.25,0,1.41666666666667,5.70833333333333,193.8,273.65,16
"1748","HB9263",18.75,56.25,18.75,NA,NA,169.59,36.95,16
