"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgRivDist","wtSdRivDist","wtSeRivDist"
"1","1",42,79.6437659033079,23.8145896101277,3.67467095481513,8.14249363867684,10.0204748327984,1.54619283491163,10.6870229007634,18.2362964917968,2.81392163958619,6.76100628930818,9.696403757913,1.49618758243099,2.0385509633854,1.43055016076742,0.220738682095222,2.91517237486625,2.77136466718326,0.427630852112954,8.07753144654088,4.44340513257996,0.685632297195841
"2","2",171,79.5440151994933,24.893372411871,1.9036437667942,9.87967067764408,12.7245891671687,0.973073653995803,10.0696643445218,18.0094504762572,1.37721709920536,7.93650793650794,10.8561962177809,0.830194074115009,1.52133760374104,1.3461867411747,0.102945473051138,4.00518521706511,3.40765387087376,0.260589804521122,24.1200664451827,4.02723616919796,0.30797044707554
"3","3",200,84.2945417095778,23.0264300442242,1.62821448307886,7.77548918640577,14.067837777649,0.994746348920789,7.20906282183316,15.8836917731791,1.12314661630919,7.37472423573905,11.1080200141484,0.78545562775602,1.43223699491493,1.27192810301549,0.0899388986823993,4.05094903236196,3.73216491814239,0.263903912212502,37.0506838953672,4.23262841760849,0.299292025633385
"4","4",142,83.9386602098466,19.2508314413023,1.61549388772527,7.42534301856336,10.5203924431917,0.882851722029181,6.6182405165456,12.2236967538395,1.02578984452939,10.8314606741573,13.181723020929,1.10618562293939,1.41536947825428,1.44080535869567,0.120909699795138,4.55701455059323,3.57618869003232,0.300107088242658,52.7342247191011,5.73994625831059,0.481685589759907
"5","5",134,79.7583081570997,26.8428513507724,2.31886917345062,9.29003021148036,14.4747013052997,1.25042374273697,10.4984894259819,19.0969136668476,1.64972207428428,7.85882352941176,12.0535329074866,1.04126664954836,1.70146138706706,1.44722642061583,0.125021320943715,3.66604435800157,3.49610447499705,0.302017426848365,68.2170305882353,4.3816510575488,0.378517000053159
"6","6",148,87.2093023255814,18.8271316973473,1.54758069245425,4.36046511627907,7.01101519311255,0.576301898865088,7.41279069767442,15.0306241298762,1.23550969275955,8.0270384452894,11.220175447981,0.922292740518252,1.49317044670306,1.38739384896198,0.114043071881516,4.05152056889189,3.95339694977664,0.324967227479684,83.3919687367976,4.12629880808808,0.339179672684492
"7","7",137,75.8333333333333,29.7916964360206,2.54527639864873,8.58333333333333,12.7844341689313,1.09224792318023,14.1666666666667,23.2908983047475,1.98987573217634,9.44954128440367,12.3187214503826,1.05245940044141,1.60066105558728,1.46057044914849,0.124784954786482,3.66536991178979,3.28956008897095,0.281046085253176,96.7699357798165,4.27750638216665,0.36545203335364
"8","8",169,83.598820058997,26.5840783505356,2.04492910388735,6.3716814159292,14.1005589225797,1.08465837865997,8.43657817109145,19.5693290031831,1.50533300024486,8.73103958564558,14.0223366553079,1.07864128117753,1.65806952185664,1.49048924501041,0.114653018846955,3.60633000549435,3.59750820773577,0.276731400595059,112.466315205327,4.4429867744083,0.341768213416023
"9","9",136,80.5119735755574,28.930655808255,2.48078326918032,7.43187448389761,12.5154382783358,1.07318997858649,11.3129644921552,20.7182473663145,1.77657505497772,8.69363086936309,11.7273275982856,1.00561004530434,1.63143431153274,1.27752421667459,0.109546797822492,3.7147690765045,3.19134932526718,0.273655946989411,126.640562529056,4.23337127843617,0.363008592317369
"10","10",55,86.8884540117417,20.6663176067297,2.78664569761577,5.67514677103718,11.4332739692044,1.54166234750843,5.67514677103718,13.5882788565122,1.83224314723455,8.52272727272727,12.2418301914947,1.65068804628082,1.50036904076804,1.34362206806766,0.181173962698759,4.35582721391163,3.54127054757372,0.477504823223866,141.850079545455,4.31559680248091,0.581914954135887
